Id,y
10000,-66.00242349023134
10001,451.4065044011531
10002,-461.67641706029764
10003,40.501208753725194
10004,-126.74472245403845
10005,-342.53455181925193
10006,-396.55554211358833
10007,335.5412790790877
10008,-99.51242087062457
10009,304.8125398062758
10010,68.89453048978585
10011,412.3691954559078
10012,54.94237102476771
10013,-17.005550754779915
10014,-597.8499575722612
10015,443.50228878641406
10016,144.77448697804275
10017,-57.411163672537626
10018,134.3878275774631
10019,-108.9837759891088
10020,153.82482842506738
10021,611.7359836022029
10022,588.3896503384224
10023,-131.01679995801948
10024,-61.135621141228455
10025,-374.248495316972
10026,74.15799307965422
10027,137.43837873610346
10028,420.0866117967906
10029,196.76562571344485
10030,268.4428498005331
10031,638.4749102511093
10032,127.37873138691752
10033,1.34911875839996
10034,22.71045317740644
10035,342.2395345225649
10036,307.70396697417186
10037,348.138208700942
10038,-168.65286130735416
10039,-20.22113090461797
10040,-551.7499275731097
10041,-429.9718040667417
10042,261.89195870674286
10043,389.8204261292208
10044,-96.16562227356594
10045,-210.7108012563267
10046,278.88186878401297
10047,-427.4533010310482
10048,-172.9032529175696
10049,467.2643783557835
10050,-631.5587355874394
10051,-355.5316593381771
10052,143.17327553860406
10053,69.19920259894131
10054,275.58827397672695
10055,-263.18861220410355
10056,167.49830723241146
10057,104.57789589014149
10058,230.07008661007728
10059,20.988026644576937
10060,-4.82258126250208
10061,-201.92294081063744
10062,560.0639265657703
10063,55.28847625244842
10064,671.3015746918339
10065,-493.7487382852288
10066,-279.3530367325914
10067,-53.71252761314591
10068,379.6981955009761
10069,315.07141085798384
10070,169.13001732614205
10071,-271.59930326900997
10072,783.8022226750338
10073,44.57731151554826
10074,57.40678005457889
10075,-161.07827414306854
10076,-220.66957847885712
10077,223.2412944292915
10078,352.66559554375635
10079,13.163291366266723
10080,-461.99414698573
10081,305.3721466914243
10082,-230.59656173861006
10083,359.0744432425439
10084,-430.26056337592064
10085,-115.54882205546464
10086,-88.96006387867374
10087,-488.29018980804244
10088,-139.35033854713575
10089,57.3388081085258
10090,-190.33624272166438
10091,-6.508092914823859
10092,189.291077747018
